Nama,phone,Minat_Prodi,Gelombang,Asal_Sekolah
"dr. Putri Zulaika, S.IP",+6282383104960,Akuntansi,Gelombang 1,SMA Negeri 1 Jakarta
Cawisono Zulaika,+6285300650058,Bisnis Digital,Gelombang 3,SMA Negeri 2 Bandung
Viktor Sihombing,+6282155699559,Arsitektur,Gelombang 1,SMA Negeri 3 Surabaya
Aris Hasanah,+6287779644671,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 4 Semarang
Muhammad Hariyah,+6285612161606,Informatika,Gelombang 1,SMA Negeri 5 Yogyakarta
Rizki Marpaung,+6281621421908,Desain Komunikasi Visual,Gelombang 1,SMA Negeri 1 Medan
Putri Nababan,+6281933494605,Manajemen,Gelombang 2,SMA Negeri 2 Makassar
Puspa Yulianti,+6281588932691,Manajemen,Gelombang 1,SMA Negeri 3 Palembang
"Michelle Mahendra, S.Ked",+6281554425390,Arsitektur,Gelombang 3,SMA Negeri 1 Denpasar
Purwa Budiman,+6282155940660,Arsitektur,Gelombang 1,SMA Negeri 2 Malang
Jelita Pertiwi,+6285309179511,Akuntansi,Gelombang 2,SMA Negeri 1 Bogor
Belinda Waluyo,+6281338845342,Informatika,Gelombang 2,SMA Negeri 2 Tangerang
Shania Astuti,+6287767703820,Arsitektur,Gelombang 2,SMA Negeri 3 Bekasi
"Aris Saefullah, M.Farm",+6285338595104,Desain Komunikasi Visual,Gelombang 3,SMA Negeri 1 Depok
Suci Dongoran,+6281248553478,Akuntansi,Gelombang 1,SMK Negeri 1 Jakarta
"Cut Patricia Prayoga, M.Ak",+6287884312979,Informatika,Gelombang 1,SMK Negeri 2 Bandung
Ani Permadi,+6281872494663,Ilmu Komunikasi,Gelombang 1,SMK Negeri 3 Surabaya
"Ilyas Wibowo, M.M.",+6282315590767,Ilmu Komunikasi,Gelombang 2,MAN 1 Jakarta
Balapati Januar,+6285370021754,Psikologi,Gelombang 3,MAN 2 Bandung
Karman Sitorus,+6285641234745,Desain Komunikasi Visual,Gelombang 3,SMA Kristen 1 Jakarta
Dr. Eva Nurdiyanti,+6285756327315,Sistem Informasi,Gelombang 2,SMA Katolik 1 Surabaya
Ir. Heru Nainggolan,+6281514202974,Desain Komunikasi Visual,Gelombang 2,SMA Muhammadiyah 1 Yogyakarta
Daliono Anggriawan,+6285335211758,Sistem Informasi,Gelombang 3,SMA Al-Azhar 1 Jakarta
Gading Haryanto,+6287753149138,Sistem Informasi,Gelombang 1,SMA Plus Pembangunan Jaya
"drg. Rika Hasanah, S.Pt",+6282346290695,Informatika,Gelombang 3,SMK Negeri 1 Makassar
"Jessica Prastuti, S.E.I",+6281620317410,Arsitektur,Gelombang 3,SMK Negeri 1 Medan
"Okto Kusmawati, S.Psi",+6281698492213,Sistem Informasi,Gelombang 2,SMA Negeri 1 Padang
Ir. Fathonah Nashiruddin,+6281209510919,Bisnis Digital,Gelombang 3,SMA Negeri 2 Palembang
"Dariati Budiman, M.Ak",+6285873880586,Arsitektur,Gelombang 3,SMA Negeri 1 Samarinda
Eka Sitorus,+6287770520407,Teknik Sipil,Gelombang 3,SMA Negeri 1 Manado
"R.A. Tami Suryatmi, S.Kom",+6281383914579,Ilmu Komunikasi,Gelombang 3,SMA Negeri 1 Jakarta
Irsad Maryadi,+6281982374969,Teknik Sipil,Gelombang 2,SMA Negeri 2 Bandung
Cecep Thamrin,+6285727266351,Ilmu Komunikasi,Gelombang 2,SMA Negeri 3 Surabaya
Endra Maheswara,+6281820624296,Teknik Sipil,Gelombang 2,SMA Negeri 4 Semarang
